Salario,edad,escolaridad,empleo,genero,Escolaridad,Empleo,Genero,,,,,,Superior
12000,57,Superior,Tiempo Completo,M,1,1,0,,,,,,Tiempo Completo
22400,48,Basica,Tiempo Parcial,M,0,0,0,,,,,,H
13200,38,Superior,Tiempo Completo,M,1,1,0,,,,,,
7500,27,Basica,Tiempo Completo,M,0,1,0,,,,,,
11100,23,Basica,Tiempo Completo,H,0,1,1,,,,,,
12700,22,Basica,Tiempo Completo,M,0,1,0,,,,,,
3000,18,Superior,Tiempo Completo,M,1,1,0,,,,,,
2400,12,Superior,Tiempo Completo,M,1,1,0,,,,,,
11900,38,Superior,Tiempo Parcial,M,1,0,0,,,,,,
7500,55,Superior,Tiempo Completo,M,1,1,0,,,,,,
32400,26,Basica,Tiempo Completo,M,0,1,0,,,,,,
4200,18,Superior,Tiempo Completo,M,1,1,0,,,,,,
10000,32,Superior,Tiempo Completo,M,1,1,0,,,,,,
13550,41,Superior,Tiempo Completo,M,1,1,0,,,,,,
10700,48,Superior,Tiempo Completo,M,1,1,0,,,,,,
5000,16,Basica,Tiempo Completo,H,0,1,1,,,,,,
9000,45,Superior,Tiempo Completo,M,1,1,0,,,,,,
37700,46,Superior,Tiempo Parcial,M,1,0,0,,,,,,
15000,30,Basica,Tiempo Completo,M,0,1,0,,,,,,
16200,40,Superior,Tiempo Completo,M,1,1,0,,,,,,
1800,19,Basica,Tiempo Completo,M,0,1,0,,,,,,
12760,25,Basica,Tiempo Completo,M,0,1,0,,,,,,
4750,46,Superior,Tiempo Completo,H,1,1,1,,,,,,
13500,25,Basica,Tiempo Completo,M,0,1,0,,,,,,
40000,57,Superior,Tiempo Parcial,M,1,0,0,,,,,,
9180,35,Basica,Tiempo Parcial,M,0,0,0,,,,,,
13950,44,Superior,Tiempo Parcial,M,1,0,0,,,,,,
4916,22,Superior,Tiempo Completo,M,1,1,0,,,,,,
3000,19,Basica,Tiempo Completo,M,0,1,0,,,,,,
4050,37,Superior,Tiempo Completo,H,1,1,1,,,,,,
8100,20,Superior,Tiempo Completo,M,1,1,0,,,,,,
10500,40,Superior,Tiempo Completo,M,1,1,0,,,,,,
20000,30,Superior,Tiempo Completo,M,1,1,0,,,,,,
13950,30,Superior,Tiempo Parcial,M,1,0,0,,,,,,
8000,26,Superior,Tiempo Completo,M,1,1,0,,,,,,
4700,41,Superior,Tiempo Completo,H,1,1,1,,,,,,
12500,22,Superior,Tiempo Completo,M,1,1,0,,,,,,
50000,21,Superior,Tiempo Completo,M,1,1,0,,,,,,
10000,19,Superior,Tiempo Completo,M,1,1,0,,,,,,
10500,35,Superior,Tiempo Completo,M,1,1,0,,,,,,
30000,35,Basica,Tiempo Parcial,M,0,0,0,,,,,,
11525,33,Basica,Tiempo Parcial,H,0,0,1,,,,,,
10250,27,Basica,Tiempo Parcial,H,0,0,1,,,,,,
18950,62,Basica,Tiempo Completo,M,0,1,0,,,,,,
6250,18,Basica,Tiempo Completo,M,0,1,0,,,,,,
5000,25,Basica,Tiempo Completo,M,0,1,0,,,,,,
27250,43,Basica,Tiempo Parcial,H,0,0,1,,,,,,
17500,40,Basica,Tiempo Parcial,M,0,0,0,,,,,,
11700,26,Basica,Tiempo Parcial,M,0,0,0,,,,,,
95000,47,Basica,Tiempo Completo,M,0,1,0,,,,,,
10000,30,Superior,Tiempo Completo,M,1,1,0,,,,,,
14000,30,Superior,Tiempo Completo,M,1,1,0,,,,,,
9700,25,Basica,Tiempo Completo,M,0,1,0,,,,,,
15000,36,Superior,Tiempo Completo,M,1,1,0,,,,,,
2500,28,Superior,Tiempo Completo,H,1,1,1,,,,,,
1500,13,Superior,Tiempo Completo,H,1,1,1,,,,,,
13100,55,Superior,Tiempo Completo,M,1,1,0,,,,,,
12000,21,Superior,Tiempo Completo,M,1,1,0,,,,,,
2500,18,Superior,Tiempo Completo,H,1,1,1,,,,,,
2500,11,Superior,Tiempo Completo,H,1,1,1,,,,,,
3000,38,Superior,Tiempo Parcial,H,1,0,1,,,,,,
3000,17,Superior,Tiempo Parcial,H,1,0,1,,,,,,
12200,20,Superior,Tiempo Completo,M,1,1,0,,,,,,
28750,50,Basica,Tiempo Parcial,M,0,0,0,,,,,,
7500,45,Superior,Tiempo Completo,H,1,1,1,,,,,,
7900,60,Superior,Tiempo Completo,M,1,1,0,,,,,,
8532,26,Basica,Tiempo Completo,H,0,1,1,,,,,,
35000,42,Basica,Tiempo Parcial,M,0,0,0,,,,,,
5400,62,Superior,Tiempo Parcial,M,1,0,0,,,,,,
11000,23,Superior,Tiempo Completo,M,1,1,0,,,,,,
34200,56,Superior,Tiempo Parcial,M,1,0,0,,,,,,
7750,19,Superior,Tiempo Parcial,M,1,0,0,,,,,,
37000,46,Superior,Tiempo Completo,M,1,1,0,,,,,,
15600,26,Superior,Tiempo Parcial,M,1,0,0,,,,,,
26115,23,Superior,Tiempo Completo,M,1,1,0,,,,,,
5400,16,Basica,Tiempo Completo,M,0,1,0,,,,,,
12950,33,Superior,Tiempo Completo,M,1,1,0,,,,,,
11200,27,Basica,Tiempo Completo,M,0,1,0,,,,,,
8200,22,Basica,Tiempo Completo,M,0,1,0,,,,,,
38500,30,Basica,Tiempo Parcial,M,0,0,0,,,,,,
9425,22,Basica,Tiempo Parcial,H,0,0,1,,,,,,
35000,57,Superior,Tiempo Parcial,M,1,0,0,,,,,,
10770,26,Superior,Tiempo Completo,M,1,1,0,,,,,,
2000,14,Superior,Tiempo Completo,M,1,1,0,,,,,,
5384,14,Superior,Tiempo Completo,H,1,1,1,,,,,,
42700,55,Superior,Tiempo Parcial,M,1,0,0,,,,,,
1800,12,Superior,Tiempo Completo,M,1,1,0,,,,,,
12000,38,Superior,Tiempo Completo,M,1,1,0,,,,,,
4050,17,Superior,Tiempo Completo,M,1,1,0,,,,,,
37500,42,Basica,Tiempo Parcial,M,0,0,0,,,,,,
12000,34,Superior,Tiempo Completo,M,1,1,0,,,,,,
17500,33,Basica,Tiempo Parcial,M,0,0,0,,,,,,
5000,26,Superior,Tiempo Completo,H,1,1,1,,,,,,
10000,33,Basica,Tiempo Parcial,M,0,0,0,,,,,,
2500,22,Superior,Tiempo Parcial,H,1,0,1,,,,,,
4000,15,Superior,Tiempo Parcial,M,1,0,0,,,,,,
6500,14,Superior,Tiempo Parcial,M,1,0,0,,,,,,
4750,25,Superior,Tiempo Parcial,H,1,0,1,,,,,,
16250,25,Superior,Tiempo Parcial,M,1,0,0,,,,,,
17500,50,Superior,Tiempo Parcial,H,1,0,1,,,,,,
15000,24,Superior,Tiempo Parcial,H,1,0,1,,,,,,
16250,28,Superior,Tiempo Parcial,M,1,0,0,,,,,,
16250,30,Basica,Tiempo Parcial,M,0,0,0,,,,,,
5000,25,Superior,Tiempo Parcial,H,1,0,1,,,,,,
39500,45,Basica,Tiempo Parcial,M,0,0,0,,,,,,
17500,40,Superior,Tiempo Parcial,H,1,0,1,,,,,,
8750,25,Basica,Tiempo Completo,M,0,1,0,,,,,,
7500,18,Superior,Tiempo Completo,M,1,1,0,,,,,,
16250,24,Superior,Tiempo Parcial,M,1,0,0,,,,,,
32500,55,Superior,Tiempo Parcial,M,1,0,0,,,,,,
12050,27,Basica,Tiempo Completo,M,0,1,0,,,,,,
60000,35,Basica,Tiempo Completo,M,0,1,0,,,,,,
5200,19,Superior,Tiempo Completo,M,1,1,0,,,,,,
11650,28,Basica,Tiempo Completo,M,0,1,0,,,,,,
